Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
ANYCaRE: a role-playing game to investigate crisis decision-making and communication challenges in weather-related hazards,"","Abstract. This study proposes a role-playing experiment to explore the value of modern impact-based weather forecasts on the decision-making process to (i) issue warnings and manage the official emergency response under uncertainty and (ii) communicate and trigger protective action at different levels of the warning system across Europe. Here, flood or strong-wind game simulations seek to represent the players' realistic uncertainties and dilemmas embedded in the real-time forecasting-warning processes. The game was first tested in two scientific workshops in Finland and France, where European researchers, developers, forecasters and civil protection representatives played the simulations. Two other game sessions were organized afterwards (i) with undergraduate university students in France and (ii) with Finnish stakeholders involved in the management of hazardous weather emergencies. First results indicate that multi-model developments and crowdsourcing tools increase the level of confidence in the decision-making under pressure. We found that the role-playing approach facilitates interdisciplinary cooperation and argumentation on emergency response in a fun and interactive manner. The ANYCaRE experiment was proposed, therefore, as a valuable learning tool to enhance participants' understanding of the complexities and challenges met by various actors in weather-related emergency management.",,13-03-2019,,,,,,,,#940,,"",""
Mixed-Methods Telephone Survey: Evaluating State Ombudsman Disaster Program Preparedness,"",nan,,01-01-2017,,,,,,,,#943,,"",""
SALICE project: Satellite-Assisted Localization and Communication Systems for Emergency Services,"",Restoring the connectivity in the emergency areas and providing NAV/COM services able to support and coordinate the rescue teams represent two of the main telecommunication needs for efficient emergency situation management. The SALICE (Satellite-Assisted LocalIzation and Communication system for Emergency services) Project aimed at identifying the system architecture and the most suitable solutions to be adopted in the future integrated reconfigurable NAV/COM systems and to analyze their feasibility in realistic emergency scenarios. The article analyzes the proposed strategies and the most significant project results in pursuing both the global coverage of the emergency areas and the development of a reconfigurable and cooperative NAV/COM system.,,01-09-2013,,,,,,,,#944,,"",""
Device-centric approach to improve resiliency of emergency communication,"","Natural disasters, human conflicts and other emergency situations in the recent years have shown that emergency communication and public safety services are of great importance. Network operators, governments, academia as well as non-profit organizations are investing great efforts in order to increase resiliency and ensure communication during an emergency situation. In this paper, the main focus is on the user device centric solutions for emergency communication and an improvement of communication resiliency. Potentials of currently widely deployed technologies as well as technologies coming to the market are analysed. In this regard, recent standardization efforts are discussed.",,01-08-2013,,,,,,,,#945,,"",""
The Impact of Utilizing Social Media as a Communication Platform during a Crisis within the Oil Industry,"","Abstract The purpose of this study is to gather arguments and counterarguments about the effective use of various types of social media that an organization can use in crisis preparedness, response and recovery. This study focuses on various industries worldwide. British Petroleum (BP) case study as well related industrial case studies is the main methodology of this study; and qualitative methods was used as an approach for this study. Social media can be an effective tool in order to convey information and explain current issues to the public. Various types of social media play different roles with one main purpose, which is to disseminate information on an urgent basis and share it with a wide range of people. In a crisis, it is vital to plan a response and share information strategically via social media in order to control the information and avoid a worsening crisis. This also aims to reduce any potential tarnishing of the company's image, something which can easily occur as a result of poor communication with the public. The key limitation is that when secondary data such as an organisation's website and documentation are accessed, there is a risk that it may not be accurate or current. This study attempts to highlight the importance for industries practitioners to utilize social media as an effective platform as part of organization's crisis communication strategies.",,01-01-2016,,,,,,,,#948,,"",""
Emergency management communication: The paradox of the positive in public communication for preparedness,"","Government emergency management agencies use public communication to inform and educate around risks such as floods, fires, storms, and earthquakes with the aim to help communities understand how to prepare for these emergency events. This study of government communication relating to emergency management preparedness examines an Australian context to understand the types of messages preparing community members for natural hazards. Findings suggest that agencies employ a two-track approach combining warranting and engagement messages. Yet a deeper look at the messages suggests a \xe2\x80\x9cparadox of the positive\xe2\x80\x9d that overemphasizes the capacity of local agencies to respond to crises and underemphasizes citizen shared responsibility. Implications for the paradox of the positive in other national contexts and public relations theory building are also discussed.",,01-06-2020,,,,,,,,#949,,"",""
Disaster Crisis Communication Innovations,"","Disaster crisis communication is essential for providing adequate and successful disaster management process during disaster events. This article analyses the disaster communication in Thailand during the 2011 floods. The newspapers and government agencies found it difficult to provide timely and accessible flood information to the public. The methodology involves qualitative analysis of the data collected by questionnaire survey, key informant interviews and print news headlines from three leading newspapers in Thailand. The article involves adoption of structuration theory for analyzing the severe implication and inadequate crisis communication in Thailand during 2011 floods. The findings include the gaps in the disaster communication systems at the government level towards the local community. There is a need to provide user friendly disaster communication system to assist in resilient communities. All channels of communication including television and media, smartphones, open source data and social media must be incorporated in a comprehensive disaster communication system.",,01-07-2019,,,,,,,,#952,,"",""
eStorys: A visual storyboard system supporting back-channel communication for emergencies,"","In this paper we present a new web mashup system for helping people and professionals to retrieve information about emergencies and disasters. Today, the use of the web during emergencies, is confirmed by the employment of systems like Flickr, Twitter or Facebook as demonstrated in the cases of Hurricane Katrina, the July 7, 2005 London bombings, and the April 16, 2007 shootings at Virginia Polytechnic University. Many pieces of information are currently available on the web that can be useful for emergency purposes and range from messages on forums and blogs to georeferenced photos. We present here a system that, by mixing information available on the web, is able to help both people and emergency professionals in rapidly obtaining data on emergency situations by using multiple web channels. In this paper we introduce a visual system, providing a combination of tools that demonstrated to be effective in such emergency situations, such as spatio/temporal search features, recommendation and filtering tools, and storyboards. We demonstrated the efficacy of our system by means of an analytic evaluation (comparing it with others available on the web), an usability evaluation made by expert users (students adequately trained) and an experimental evaluation with 34 participants.",,01-04-2011,,,,,,,,#956,,"",""
Risk and Crisis Communication Research in India,"","Crisis communication research is still in its infancy in India. The limited research on the topic has mostly focused on the use (or lack thereof) of ICTs in risk and crisis communication. The case study helped identify three positive aspects to the response to the 2008 terrorist attacks in Mumbai: the involvement of senior managers in crisis management from the very outset, centralized coordination of communication by the organization, and speedy, consistent communication with the media. The many errors during the live television coverage of the terrorist attacks led broadcasters to delineate principles for self-regulation by the industry. This chapter helps us identify the impact of paucity in crisis communication literature at the micro, meso, and macro levels.",,22-04-2016,,,,,,,,#957,,"",""
Flood Disaster Risk Perception and Urban Households\xe2\x80\x99 Flood Disaster Preparedness: The Case of Accra Metropolis in Ghana,"","Flood disaster has gained global attention due to the huge impact it has on human lives, economies, and sustainable environments. Flood disaster preparedness, which can significantly be influenced by disaster risk perception, has been highlighted as an effective way to manage flood disaster risk, as many other means have proved futile, yet no study has attempted using multiple dimensions to analyze this relationship in Ghana. Therefore, this study, using a survey of 369 households in the most flood-prone region, Accra Metropolis, analyzed the influence of flood disaster risk perception on urban households\xe2\x80\x99 flood disaster preparedness. Based on the Protective Action Decision Model, the empirical models were constructed and estimated using the Tobit and binary logistic regression models. The results show that the majority of households (60.16%) were unprepared for flood disasters, and the perception of flood disaster risk and the sustainability risk posed by floods significantly affect flood disaster preparedness behaviours of households in a positive direction. The total number of flood disaster preparedness behaviours adopted was significantly related to probability, the threat to lives, sense of worry, and sustainability risk perceptions. Finally, income, education, and house ownership, among other household and individual characteristics, had significant positive effects on preparations for flood disasters. These findings suggest that effective policies to mitigate flood disasters must incorporate risk communication to boost households\xe2\x80\x99 flood disaster preparedness.",,25-08-2021,,,,,,,,#958,,"",""
Emergency Communication and Use of ICT in Disaster Management,"","The resilience of communication is of utmost importance at the time of any disaster. Unfortunately, disaster can occur at any time without any prior warning. The recent escalation in the number of natural and/or human-made disasters has ravaged millions of lives and caused billions of dollars in property damage without any discrimination between the developing and the developed countries. Minimizing the effect of such disasters becomes the primary objective. The impact can be mitigated by maintaining a consistent flow of information among locals affected by the disaster. The disaster management organizations are responsible for maintaining situational awareness to assess the damages and needs. Such insights become difficult to source when the communication systems fail, as often seen, in the immediate aftermath of a disaster. The catastrophic collapse of conventional network infrastructure and the failure in establishing real-time emergency communication paradigms restrict disaster salvage (/rescue) efforts, thereby increasing casualty count in a post-disaster scenario. Every region, from any spectrum of development, faces such challenges in the wake of a disaster. These issues beg for the creation of resilient and swiftly deployable communication infrastructure. Furthermore, such an infrastructure should address the data management issues to stave off congestion, optimize bandwidth utilization, and maximize throughput in the network. Here, we survey state of the art in emergency communication technologies for disaster management. Then, we present how these solutions can be applied to create a rapidly deployable network infrastructure for moving toward disaster resilience, further augmented by Information and Communication Technology (ICT). In this scope, we further discuss such infrastructures keeping in mind the deployment conditions like deployment feasibility, infrastructural scalability, and information management capabilities. Consequently, we discuss SurakshIT, a new network infrastructure, which incorporates hybrid communication technologies and protocol stacks to create a resilient framework for emergency communication while providing multiple application interfaces.",,01-01-2021,,,,,,,,#959,,"",""
Social\xe2\x80\x90Mediated Crisis Communication Research,"","Jin, Austin, and Liu provide insights into their innovative social-mediated crisis communication (SMCC) model. Jin et al. note the SMCC was born out of a desire to provide theoretically informed research on the role of social media in crisis communication. Since its creation, the SMCC model has become one of the most cited theories in the domain of social media, crisis, and public relations. Jin et al. explain that the SMCC model has been refined through a series of empirical studies over the past decade, pointing to the need for advanced knowledge on how organizations and publics can harness social media to effectively prepare for and respond to crises, as well as the urgency of understanding the potential dark side of social media and emerging technology. This chapter synthesizes research developing and testing the SMCC model along with related investigations. Jin et al. conclude with recommendations for future research on social media and crisis communication. This chapter provides important details about the SMCC model that should serve as a touchstone for future researchers who utilize the SMCC model in their own crisis communication research.",,25-10-2022,,,,,,,,#960,,"",""
Emergency Communication Application for Speech and Hearing-Impaired Citizens,"","Citizens worldwide with mutism and hearing loss, converse differently than the rest of the population. Preferring a gestural mode of communication, they use sign languages which are established natural languages with an extensive vocabulary and syntax. Nevertheless, despite having equal status to spoken languages, society prominently caters to the majority of citizens who are capable of speaking and processing spoken languages. As a result, sign language speakers face difficulties with social aggregation. The Sri Lankan citizens with mutism and hearing loss obtain improving benefits with the advancement of technology; however, accessing emergency services remains a challenge as they can only be accessed verbally using a phone call. Project `Wadhan' enables citizens with mutism and hearing loss to request for emergency services in real-time without depending on an intermediary. This cross-platform mobile application will convert Sri Lankan Sign Language (SSL) statements to voice and vice-versa, which allows a seamless conversation between the SSL speaker and the emergency operator. The application includes SSL Gesture Recognition, Sinhala Text-to-Speech (TTS), Sinhala Speech Recognition, and SSL Animation Generation, thus resulting in an emergency communication application that can be used by SSL users in dire situations.",,15-12-2020,,,,,,,,#963,,"",""
Disaster Preparedness and the Abeyance of Agency: Christian Responses to Tropical Cyclone Winston in Fiji,"","International practices of disaster preparedness presume human agency, particularly at the household level, as an important pre-emptive response to anticipated natural hazards. Our analysis of Fijian responses to Tropical Cyclone Winston indicates that preparedness is also regarded as important by cyclone survivors but has a moral dimension that can be used to assign blame to underprepared members of the community. However, Fijian villagers\xe2\x80\x99 experiences of terror and awe during Tropical Cyclone Winston also make them aware of the limits of human agency, prompting them to reflect on God\xe2\x80\x99s role in the cyclone and the need for collective repentance and renewed Christian commitment. The effectiveness of disaster preparedness and climate change adaptation efforts can only be enhanced by a better understanding of the values of affected communities, including religious and spiritual values. We seek to contribute to this knowledge by showing how disaster preparedness both converges with and diverges from Fijian Christian practices.",,01-08-2019,,,,,,,,#964,,"",""
Disaster Preparedness,"","The multiplicity of disaster prevention maps, edited by prefectures, municipalities or even the inhabitants themselves, is reflected in their name. Most often, the maps show both danger zones and evacuation locations. In addition, there are also disaster prevention maps created by the residents themselves, usually in collaboration with the municipalities involved. Concerning seismic risks, a long-term probability map is published and regularly updated. The higher a household's level of preparation, the less it will suffer in case of catastrophe. Supermarkets and specialty stores usually have aisles specifically devoted to disaster prevention. Education for disaster prevention refers to the transmission of knowledge and techniques to reduce the risks and avoid the occurrence of disasters as much as possible. Preparation for disasters caused by powerful hazards is a primary part of the knowledge imparted at school, especially through fire simulation exercises.",,28-09-2018,,,,,,,,#969,,"",""
Tweets During Crisis Follow One-Way Communication,"",An analysis of the tweets by newspaper and broadcast journalists during the 2011 San Diego power outage found that most tweets fell into the traditional reporting practice of one-way communication. Newspaper journalists sent more interactive tweets than did broadcast journalists.,,01-06-2015,,,,,,,,#972,,"",""
Facebook as an official communication channel in a crisis,"","Digital platforms have become valuable resources to citizens as they allow immediate access to quality information and news. Staying up to date with information and news is particularly vital in crises such as bushfires. The 2019\xe2\x80\x9320 bushfire season in Australia was extreme, resulting in widespread devastation and loss of life, property and wildlife. Communicating with affected communities is a critical component of community response and resilience in a disaster. Organisations, such as ACT Emergency Services Agency and the NSW Rural Fire Service, need to provide timely, accurate and reliable information. This study investigated official communication using Facebook during the Orroral Valley bushfires from these two emergency services agencies and considers to what extent messaging demonstrated the characteristics of effective crisis communication, including application of the National Framework for Scaled Advice and Warnings to the Community. A content analysis of over 600 posts revealed marked differences in approaches. The study revealed the benefits of using a combination of text, images and infographics in communication activities. Suggestions are provided about how social media could be used more effectively by truly connecting with communities to improve community preparedness and resilience.",,01-01-2021,,,,,,,,#974,,"",""
Modeling of a Nuclear Emergency Plan: Communication Management,"","The Nuclear Emergency influence domain spreads over a large number of systems of different natures. Nuclear Emergency Plans (NEPs) are usually designed using a top-down approach, establishing a hierarchy working as a command chain. Although this provides advantages in terms of control, it might not be flexible enough to face unpredicted emergent behaviors due to complex interactions among the systems involved. Using a real case study, this work models the organizational framework defined in a NEP and analyzes its communication and command chain network structure. We also discuss the results of the communication and command chain network analysis to facilitate the assessment of key indicators to improve the NEP: resilience, adaptability, and responsiveness.",,03-02-2015,,,,,,,,#975,,"",""
Flood disaster preparedness experiences of hospital personnel in Thailand: A qualitative study,"","Nurses, as well as other health personnel and health systems, worldwide need to be adequately prepared for disasters because it is often difficult to predict where and when disasters strike. The 2011 Thailand flood disaster caused significant damage, including to hospitals. The purpose of this study was to investigate the experiences of hospital personnel regarding flood disaster preparedness in the central region of Thailand.This qualitative study was conducted using content analysis. Purposive sampling was used to select the participants. Semi-structured interviews were conducted with 15 participants who were doctors, nurses, and persons involved in flood disaster preparedness. Content analysis was used for data analysis.Two themes and ten subthemes were extracted with regard to flood disaster preparedness. The two themes were maintaining the function of care provision and struggle with preparedness. Personnel realized that preparation levels of their hospital were inadequate and identified the challenges in providing care during and after floods.The finding identified several areas to improve the current state of preparedness of all hospitals that experienced service disruption due to flood disasters. This can help healthcare personnel, hospitals, and healthcare system to enhance flood disaster preparedness so that they can be better prepared.",,01-08-2018,,,,,,,,#977,,"",""
Helicopter-satellite Communication System Developed for Transmission of Disaster and Emergency Information,"",nan,,15-04-2003,,,,,,,,#979,,"",""
"Personal Emergency Preparedness Plan (PEPP) Facebook App: Using Cloud Computing, Mobile Technology, and Social Networking Services to Decompress Traditional Channels of Communication during Emergencies and Disasters","","Cloud Computing, Mobile Technology, and Social Networking Services such as Facebook and Twitter has become an integral part of society during the event of an emergency or disaster. In the wake and aftermath of a disaster, a tremendous number of people used social networking sites to post and share information. The Department of Health and Human Services (HHS) had sponsored a challenge for software application developers to design a Facebook application to help people prepare for emergencies and to obtain support from friends and families during its aftermath. Lockheed Martin had responded to this challenge by creating a cloud and mobile based Facebook application called the Personal Emergency Preparedness Plan (PEPP). This paper discusses the design and integration of the PEPP Facebook App with the intention of serving as reference architecture for developing social networking applications using cloud computing and mobile technology.",,01-06-2012,,,,,,,,#981,,"",""
Social media communication of the scientific and technological literature in emergency under COVID-19,"","Purpose This paper takes the current COVID-19 pandemic raging around the world as a realistic background and uses the informal scientific communication mode in social media as the theoretical basis. It aims to explore the characteristics and rules of scientific communication in social media under emergency events, grasp the potential and risks of scientific communication in social media in special times and provide a perspective of academic communication for the scientific response. Design/methodology/approach The authors select the enumeration data of the early COVID-19 theme papers spread on social media networks as the research object, apply descriptive statistical analysis to the basic statistical distribution of variables and use factor analysis and visualization methods to explore the law and characteristics of the spread of scientific papers on social media platforms. Findings It was found that users of the COVID-19 paper are mainly in North America, Europe and South America, followed by those in East Asia, Southeast Asia and Oceania. The users are mainly public figures, doctors and other practitioners, science communicators and scientists. The process of social media communication reflects three ways of knowledge construction, social interaction and academic communication, and there are three ways of communication law and changing trend of cross transition and integration. Originality/value This study observes the function and role of science communication in social media in a special period from a unique perspective of academic communication, so as to promote academic means to fight against the epidemic.",,04-06-2021,,,,,,,,#983,,"",""
Relationship between the Level of Anxiety with Preparedness of Staff of the Social Service of the Province of Aceh in the Disaster,"","The Aceh Provincial Social Service is located on the street of Sultan Iskandar Muda No. 49 Banda Aceh which is a regional apparatus as an element of implementation in the field of social welfare based in Banda Aceh. In 2004, the Aceh Provincial Social Service building was one of those affected by the earthquake and tsunami disaster. Many rooms were destroyed, especially the first floor, during the rehabilitation and reconstruction, the Aceh Provincial Social Service building was only repaired on the first floor, so that many rooms on the second floor had cracked floors and even some rooms when someone walked the floor swayed. This makes the staff of the Aceh Provincial Social Service have anxieties about the resilience of the building when thinking about earthquake during work. This study aims to analyze the level of anxiety and preparedness of employees against earthquake disasters, find out the relationship between the variables of anxiety and preparedness, and develop alternative strategies to increase the level of preparedness. The data used in this study uses primary data obtained from observations, interviews, and distributing questionnaires and secondary data obtained through reference books, journals, and the Central Aceh Statistics Agency. Respondents in this study were 68 people. This study uses descriptive qualitative and quantitative methods, regression tests to determine the relationship between the two variables, and SWOT analysis to develop alternative strategies. The results showed that the total score on the level of anxiety possessed by the employees of the Aceh Provincial Social Service was 2,761 in the moderate category, while the total preparedness score was 2,962, which was a high category in facing disaster preparedness. The results of the regression test through ANOVA tables are valued at 0,000 with a 95% confidence level, which means the relationship between the two significant variables has a relationship of 21.9%. The results of the SWOT analysis show that the strategy needed is a strategy of enhancement. For this reason, four strategies were adopted using the SWOT analysis including drafting an annual routine activity agenda in socialization and drill against earthquake disasters in Dinsos by involving agencies and organizations in Aceh engaged in disaster mitigation.",,26-05-2019,,,,,,,,#984,,"",""
Analysis of e-mail Communication Using a Social Network Framework for Crisis Detection in an Organization,"","The e-mails exchanged, as an indicator of information exchange in an organization, is used to facilitate the emergence of structure within the organization. In this paper, we infer the formal hierarchy and also detect the informal networks in the context of organizational e-mail archives from a social network perspective. We explore the performance of the social network based classifier and the evolutions of informal networks over time to better understand the interplay between communication patterns and major events within an organization like Enron. Prediction accuracy of the social network classifier delineates the normal and crisis periods in an organization. We found that the study of informal networks along with the structural hierarchy can provide a clue to the health of the corporate.",,01-11-2013,,,,,,,,#985,,"",""
Disaster Preparedness in Scandinavia,"","Disaster preparedness in Scandinavia is being improved on the national level, with increased cooperation between the different countries following 9/11. However, focus so far has been largely directed against CBRN threats. The reduction of hospital beds along with centralisation of advanced care as well as financial strains will enforce a closer cooperation between the health boards. The federal health care authorities must have a clear-cut responsibility and mandate to coordinate the nations health care systems in peacetime disasters, and not only during war. This reorganisation has just merely begun.",,01-12-2005,,,,,,,,#987,,"",""
Designing a Relief Distribution Network under Uncertain Situation: Preparedness in Responding to Disaster,"","None can predict a disaster precisely: where, when, and how big a disaster will strike one area. This situation leads to uncertainty in such as required demand and supply availabilities. To an area that has been identified threatening by a natural hazard, a possible disaster scenario may compile. Since time is vital in disaster response operations, developing strategies to speed up emergency response is necessitated. This study is aimed to develop a stochastic model for a location-allocation problem in responding to a forecasted disaster. Our stochastic approach recommends a number and locations of local distribution centers (LDCs) that are required to be set up in the initial stage of the response phase and a number of relief items that will be dispatched to survivors in the affected areas through the proposed relief network. A mixed delivery strategy is applied in a 3-tier of a relief distribution network encompassing warehouses, LDCs, and shelters. This strategy provides the affected people in some of the shelters to receive relief items directly from nearby warehouses, while the remaining shelters will get supplies indirectly through the opened LDCs. Comparing to the indirect strategy that shelters are permitted to receive aid goods only through LDCs, the proposed mixed delivery strategy provides more efficient and effective relief distribution. The probable tsunami in West Sumatra, Indonesia, known as Mentawai Megathrust, is employed to illustrate the developed model. The model will be beneficial for disaster managers to improve the performance of a disaster relief operation.",,28-10-2019,,,,,,,,#995,,"",""
APPLICATION OF DEAGGREGATION OF SPATIAL PROBABILISTIC SEISMIC HAZARD FOR DISASTER PREPAREDNESS,"","For regional disaster prevention, it is important to understand the area of occurrence of strong ground motion and its occurrence probability. The spatial probabilistic seismic hazard analysis (SPSHA) proposed by the authors can provide this information. In SPSHA, the results are expressed as a relation between the area where a given seismic intensity is generated and the exceedance probability. Results obtained from such a probabilistic approach include the effects of various seismic sources. Therefore, to efficiently describe an earthquake scenario for regional earthquake countermeasures, it is necessary to understand the impact of each earthquake source. In this study, we propose a seismic hazard deaggregation for SPSHA, and present a method for quantitatively understanding the earthquakes that affect the target region. As a practical application, SPSHA is conducted for Kanagawa prefecture in Japan. We conducted seismic hazard deaggregation for whole and sub-area, and discussed the differences in dominant earthquakes among areas and the use of such information in disaster prevention.",,01-01-2020,,,,,,,,#998,,"",""
Future Wireless Communication Infrastructure with Application to Emergency Scenarios,"","Establishing and accessing a reliable communication infrastructure at crisis site is a challenging research problem. Failure in communication infrastructure and information exchange impedes the early response efforts resulting in huge loss of lives and economical impacts. Reliability, robustness, interoperability and minimum interdependencies are specific requirements of communication technology within the context of emergency applications. We present the real measurements obtained over the deployment of a quickly configurable and easily reconfigurable wireless mesh test bed at disaster site. This is followed by an analytical discussion of the important observations concerning the factors that impact performance or cause bottlenecks.",,01-06-2007,,,,,,,,#1001,,"",""
Teaching Model for Disaster Preparedness School Based Earthquake Prone Earthquake in Lombok,"","The problem in this research is that the teaching of school-based earthquake disaster preparedness in Lombok has not been optimal. In fact, the island of Lombok is an area with a high level of vulnerability to earthquakes. This is because one of them is the Flores Thrust which stretches from the eastern tip of the Flores Sea to the north of Bali. Thus in this study the main objective is to develop a preparedness teaching model for earthquake-prone schools. Where earthquake disaster preparedness is all efforts and activities carried out before a natural disaster occurs, during a disaster and immediately after a disaster to quickly and effectively respond to the situation or situation. The research method used is a research and development approach (Research &amp;amp; Development). The results showed several results including; First, the use of this preparedness teaching model shows that schools have more knowledge as a result of modeling in learning; Second, the exposure of the functions and responsibilities of one of the main leading sectors in disaster management; and The three resulting teaching models have simplified disaster management in schools because they are integrated with Social Science learning so that they are easily realized. So with the model of teaching student preparedness it will be more effective and efficient in order to improve their ability to face earthquakes that can occur at any time.",,31-03-2020,,,,,,,,#1005,,"",""
Pharmaceutical influencers on Instagram and their communication during the Covid-19 pandemic crisis,"","Today, thanks to the consolidation of Internet, users have access to many sources of information on health issues. On social networks, there are profiles of health professionals who share content that generates credibility when published by specialists who are knowledgeable in the sector. These profiles include pharmaceutical professionals who disseminate and create content based on scientific knowledge. Pharmaceutical influencers on Instagram have an informative role on health, nutrition and cosmetic dermatology issues. This research aims to learn about the communication management of these influencers during the Coronavirus crisis in Spain and how they have modified their habitual discourse, as well as seeking to identify the formats of their publications that generate greater engagement and conversions among their followers.",,30-09-2020,,,,,,,,#1007,,"",""
Efficient communication over cellular networks with network coding in emergency scenarios,"","Emergency communications require reliability and flexibility for disaster recovery and relief operation. Based upon existing commercial portable devices (e.g., smartphones, tablets, laptops), we propose a network architecture that uses cellular networks and WiFi connections to deliver large files (e.g. detailed maps) in emergency scenarios under the impairments of wireless channel such as packet losses and intermittent connection. Network coding (NC) is exploited to improve the delivery probability beyond cellular coverage. We first review the state-of-the-art of NC for emergency communications. Then, we present the proposed network architecture which utilizes multiple radio interfaces of portable devices to support data delivery. A random linear NC scheme is exploited both at the source and intermediate nodes, and an analytical model for the successful decoding probability is derived. Finally, we evaluate the effectiveness of the proposed architecture with NC in terms of the delivery ratio of content for intermittent connectivity scenarios.",,01-11-2015,,,,,,,,#1009,,"",""
"Community preparedness to flood disaster in Johor, Malaysia","","Abstract Malaysia is a country that is affected by monsoonal floods yearly causing a significant amount of casualties, displacement of communities, damages to property and crops. The flood affects the community extensively and it is crucial for them to be prepared to reduce the risk faced in the event of a flood disaster. This study aims to determine the current level of flood preparedness amongst communities in Segamat, Johor as well as other contributing factors to preparedness such as attitude towards flood, risk perception, trust in agencies, sense of community and intention to prepare. A total of 22 villages were selected with the assistance of the District Office ensuring villages at risk were selected and a total of 150 self-administered questionnaires were distributed. Using descriptive analysis, the findings indicated that the other factors above were moderate to high and overall preparedness level was found to be moderately low. Measures taken by the respondents such as owning a first aid kit and financial preparedness such as purchasing property insurance and emergency savings were found to be much lower than other measures of preparedness.",,01-06-2020,,,,,,,,#1010,,"",""
Crisis and Emergency Risk Communication: FEMA\xe2\x80\x99s Twitter use during the 2017 hurricane season,"","Applying content and semantic network analysis research methodologies, this study examined FEMA\xe2\x80\x99s national and regional Twitter account posts during the historic 2017 hurricane season and argues for the expanded use of the Crisis and Emergency Risk Communication (CERC) model in researching risk and crisis communication during natural disasters. Messaging content was compared across time between FEMA and its regional counterparts during Harvey, Maria, Irma, and Nate. Results showed FEMA provided information to affected publics and bolstered its work using various Twitter features. Differences were identified in FEMA\xe2\x80\x99s national and regional accounts\xe2\x80\x99 posts. From hashtags to visual elements, FEMA's tweet content changed as the season progressed: more tweets included information about the impact of the storms; more tweets shared factual information from hurricane to hurricane; and the tweets tended to use more hashtags and account tags, which should broaden their audience.",,01-11-2021,,,,,,,,#1014,,"",""
Managerial Diversity and Corporate Communication in Periods of Crisis,"",nan,,01-01-2023,,,,,,,,#1017,,Åshild Kolås (2024-05-08 22:24:07)(Screen): This paper may not be relevant as it seems to deal largely with public relations and not public emergency communication.; ,""
Hurricane Florence and disaster preparedness: Investigating risk through the intersections of technical communication and user experience,"",nan,,07-09-2020,,,,,,,,#1018,,"",""
Communication support system for emergency management,"","This paper focuses on safety and security interfaces for emergency management of disaster. First, the problems in emergency management are investigated from the viewpoint of communication and human computer coordination. Then, we discuss on the necessary functions to realize interfaces to enhance safety and security, and propose three new types of human support systems for disaster management, the information filtering system with semi-structured messages, the group decision support system based on the trouble communication model, and the visual interface for real time decision making.",,27-08-2003,,,,,,,,#1025,,"",""
Natural Disaster Preparedness Planning: Synchronizing Artificial Intelligence with a New Set of Leadership Skills for Generating an Inclusive Strategy in a Remote Workplace,"","An increasing number of major hurricanes, flooding, and wildfires has introduced an unusual amount of uncertainty and thus changes in our daily lives. However, one positive outcome is that they have also resulted in new opportunities to re-examine past approaches for planning to survive a natural disaster. A critical behavior practiced by inclusive leaders is to seek new ideas and perspectives from co-workers who have different values, expectations, and goals. Being receptive to different views enables organizational leaders to challenge the way they personally perceive how future practices and policies can be designed when planning to survive a natural disaster. However, particularly in the private sector, one sobering account has been the social cost of not convening face-to-face in our daily working environments whereby a free exchange of ideas is less likely to occur. This purpose of this theoretical paper is to propose a new skill set for those leaders working with remote co-workers when designing a plan for natural disaster preparedness for their organizations.",,21-12-2020,,,,,,,,#1031,,"Åshild Kolås (2024-05-08 22:08:47)(Screen): Does the planning to survive a natural disaster involve issues like how to communicate emergency information to the public or community members (like flood warnings or hurricane warnings), and how this would be done during a power outage, for instance? If this type of issue is discussed, the paper is relevant. If not, the paper is irrelevant.  ; ",""
Media Bias and the Role of User Generated Contents in Crisis Management: a Case-Study about the Communication of the Hungarian Police Forces after 2016 Budapest Explosion,"","The 2016 Budapest explosion occurred on 24 September 2016 when a young man detonated a nail bomb to kill two patrolling police officers. This case-study analyses the official communication of the Hungarian Police Forces focusing on the elapsed time until their first official reaction. I argue that the first 24 hours after the detonation are the most crucial, so working with speed and efficiency is important. I claim that the successful crisis management process takes not only the bias of mass media into consideration, but the influence of user generated contents and conspiracy theories as well. The application of a holding statement, designed to help controlling the message the public will hear immediately following an incident, is also essential.",,26-06-2018,,,,,,,,#1032,,"",""
